,Order No,User Id,Vehicle Type,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Time,Arrival at Pickup - Time,Pickup - Time,Distance (KM),Temperature,Pickup Lat,Pickup Long,Destination Lat,Destination Long,Rider Id,Time from Pickup to Arrival,Fulfillment - Weekday (Su = 0),Fulfillment - Day of Month
6297,Order_No_12439,User_Id_1329,Bike,3,Business,16,6,630,10:31:26 AM,10:35:26 AM,10:39:46 AM,8,25.9,-1.273056,36.811298,-1.2949439,36.7604214,Rider_Id_25,1572,6,16
6298,Order_No_9947,User_Id_2330,Bike,3,Business,5,2,732,12:13:15 PM,12:21:24 PM,12:24:24 PM,6,23.5,-1.2921463,36.8029626,-1.2649605,36.7981777,Rider_Id_958,1105,2,5
6299,Order_No_3051,User_Id_1396,Bike,2,Personal,3,1,1066,5:47:26 PM,5:58:28 PM,6:15:25 PM,5,22.4,-1.2449604,36.7965155,-1.2768829,36.7965104,Rider_Id_208,1109,1,3
6300,Order_No_11552,User_Id_633,Bike,3,Business,25,5,963,4:16:13 PM,4:16:22 PM,4:29:26 PM,8,29.4,-1.3004062,36.829741,-1.2574219,36.7927073,Rider_Id_555,1224,5,25
6301,Order_No_3039,User_Id_1426,Bike,1,Personal,8,6,560,9:20:12 AM,9:27:38 AM,10:06:13 AM,10,18.2,-1.2574308,36.796051,-1.2941988,36.7685658,Rider_Id_379,1081,6,8
6302,Order_No_3511,User_Id_136,Bike,3,Business,23,6,659,11:08:53 AM,11:16:48 AM,11:18:01 AM,4,22.242908563196583,-1.3165104,36.7077726,-1.3254522,36.7216584,Rider_Id_575,568,6,23
6303,Order_No_6117,User_Id_928,Bike,3,Business,30,2,818,1:50:38 PM,2:13:15 PM,2:34:19 PM,12,23.714426501535804,-1.2551895,36.7822034,-1.2632236,36.8712896,Rider_Id_178,5641,2,30
6304,Order_No_5806,User_Id_252,Bike,3,Personal,27,1,959,3:59:52 PM,4:09:12 PM,4:23:43 PM,5,23.2,-1.2615888,36.7928732,-1.2598849,36.8219979,Rider_Id_868,1435,1,27
6305,Order_No_9150,User_Id_3560,Bike,3,Business,7,4,782,1:09:23 PM,1:23:00 PM,1:32:28 PM,8,30.9,-1.3014461,36.7661381,-1.279395,36.825364,Rider_Id_763,1628,4,7
6306,Order_No_19463,User_Id_3647,Bike,3,Business,17,4,594,9:55:25 AM,10:15:24 AM,10:30:16 AM,4,21.515867736790376,-1.272639,36.794723,-1.2686614,36.8031594,Rider_Id_49,816,4,17
6307,Order_No_14770,User_Id_3560,Bike,3,Business,14,4,797,1:19:42 PM,1:34:25 PM,1:37:04 PM,7,27.4,-1.279395,36.825364,-1.3222535,36.8246176,Rider_Id_291,1660,4,14
6308,Order_No_12967,User_Id_640,Bike,3,Business,18,4,1088,6:09:02 PM,6:14:24 PM,6:31:06 PM,8,26.381433128813914,-1.2969741,36.7856612,-1.2709035,36.8168523,Rider_Id_815,1598,4,18
6309,Order_No_25041,User_Id_2523,Bike,3,Business,22,4,699,12:06:33 PM,12:07:37 PM,12:09:10 PM,8,22.5,-1.2551895,36.7822034,-1.2989934,36.8136694,Rider_Id_829,3437,4,22
6310,Order_No_14969,User_Id_1594,Bike,3,Business,11,4,873,3:11:22 PM,3:26:05 PM,3:29:15 PM,16,26.9,-1.2156006,36.8916865,-1.3285517,36.9018,Rider_Id_75,1888,4,11
6311,Order_No_3387,User_Id_633,Bike,3,Business,18,1,726,12:07:02 PM,12:09:03 PM,12:33:07 PM,9,27.9,-1.2638185,36.7930057,-1.3004062,36.829741,Rider_Id_154,1009,1,18
6312,Order_No_9233,User_Id_3201,Bike,3,Business,18,4,602,10:16:03 AM,10:16:46 AM,10:21:07 AM,4,20.6,-1.2805757,36.8223948,-1.264272,36.7978791,Rider_Id_583,768,4,18
6313,Order_No_5524,User_Id_909,Bike,3,Business,15,5,959,4:14:05 PM,4:50:50 PM,5:04:21 PM,8,27.7,-1.225322,36.80855,-1.255392,36.792539,Rider_Id_52,1150,5,15
6314,Order_No_3112,User_Id_3032,Bike,3,Business,24,4,868,2:29:51 PM,2:39:38 PM,3:00:06 PM,5,28.3,-1.2429898,36.7851062,-1.2571472,36.7950633,Rider_Id_329,1074,4,24
6315,Order_No_10501,User_Id_1245,Bike,3,Business,20,2,494,8:14:19 AM,8:17:50 AM,8:28:46 AM,17,18.9,-1.2599563,36.7993439,-1.3198615,36.7110323,Rider_Id_401,2027,2,20
6316,Order_No_26634,User_Id_2112,Bike,3,Business,8,6,786,1:06:22 PM,1:23:09 PM,1:26:32 PM,5,19.9,-1.2285835,36.8826468,-1.2156006,36.8916865,Rider_Id_152,1062,6,8
6317,Order_No_28210,User_Id_718,Bike,3,Business,30,4,674,11:17:36 AM,11:39:56 AM,11:41:26 AM,13,22.425971121496723,-1.2551895,36.7822034,-1.330593,36.848697,Rider_Id_176,1593,4,30
6318,Order_No_1202,User_Id_635,Bike,3,Business,7,2,679,11:20:09 AM,11:38:54 AM,11:53:18 AM,8,22.2858552777461,-1.3081376,36.8329772,-1.2602337,36.7990548,Rider_Id_7,1146,2,7
6319,Order_No_10060,User_Id_876,Bike,3,Business,14,1,818,1:39:09 PM,1:59:57 PM,2:02:20 PM,7,25.9,-1.2746236,36.8254455,-1.2897215,36.7945959,Rider_Id_886,792,1,14
6320,Order_No_4460,User_Id_2042,Bike,3,Business,7,2,691,11:32:32 AM,11:38:23 AM,11:46:19 AM,19,23.1,-1.2860183,36.8975338,-1.2551895,36.7822034,Rider_Id_900,2755,2,7
6321,Order_No_20220,User_Id_186,Bike,3,Business,17,3,750,12:31:32 PM,12:35:01 PM,12:48:02 PM,5,23.006081644369697,-1.2825816,36.8092346,-1.2571472,36.7950633,Rider_Id_843,1745,3,17
6322,Order_No_15299,User_Id_1079,Bike,1,Personal,6,4,791,1:39:34 PM,2:07:07 PM,2:39:10 PM,18,23.3,-1.2782208,36.7062622,-1.2562797,36.8075858,Rider_Id_482,1127,4,6
6323,Order_No_27448,User_Id_867,Bike,3,Business,19,2,733,12:14:12 PM,12:19:18 PM,12:41:16 PM,10,26.5,-1.2996533,36.8292629,-1.2991441,36.7528804,Rider_Id_831,1904,2,19
6324,Order_No_20698,User_Id_2227,Bike,3,Personal,14,4,727,12:19:53 PM,12:53:32 PM,12:59:16 PM,10,19.1,-1.2541275,36.8263055,-1.2470959,36.8729823,Rider_Id_820,1070,4,14
6325,Order_No_9337,User_Id_3080,Bike,1,Business,12,2,984,4:44:27 PM,4:51:49 PM,5:00:15 PM,12,21.2,-1.2861765,36.8209086,-1.2388687,36.7529026,Rider_Id_616,2810,2,12
6326,Order_No_27725,User_Id_2330,Bike,3,Business,3,1,675,11:16:05 AM,11:21:28 AM,11:25:40 AM,9,21.7,-1.2536275,36.7987932,-1.2687407,36.7373043,Rider_Id_161,1275,1,3
6327,Order_No_875,User_Id_1166,Bike,2,Personal,25,2,1058,5:39:51 PM,5:53:31 PM,6:00:57 PM,7,23.9,-1.2884997,36.8183895,-1.2606291,36.796951,Rider_Id_96,2403,2,25
6328,Order_No_25794,User_Id_3222,Bike,3,Business,22,1,955,3:57:37 PM,4:04:24 PM,4:07:15 PM,7,26.3,-1.2551895,36.7822034,-1.2647473,36.8423019,Rider_Id_412,4021,1,22
6329,Order_No_7239,User_Id_868,Bike,3,Business,12,3,848,2:10:09 PM,2:10:32 PM,2:20:28 PM,4,21.0,-1.259478,36.8017813,-1.2663631,36.8163329,Rider_Id_607,674,3,12
6330,Order_No_25132,User_Id_792,Bike,2,Personal,24,2,607,10:07:15 AM,10:08:49 AM,10:22:39 AM,3,14.1,-1.2738167,36.8157821,-1.2617458,36.8251441,Rider_Id_88,606,2,24
6331,Order_No_10445,User_Id_3701,Bike,3,Business,12,3,724,12:05:05 PM,12:24:12 PM,12:40:32 PM,7,23.2,-1.261143,36.826916,-1.2684239,36.7952462,Rider_Id_674,1179,3,12
6332,Order_No_21116,User_Id_577,Bike,3,Personal,26,6,569,9:30:38 AM,9:35:27 AM,9:43:39 AM,12,20.5,-1.3270347,36.8667362,-1.3628439,36.9407567,Rider_Id_418,1919,6,26
6333,Order_No_10239,User_Id_2174,Bike,3,Business,23,6,630,10:31:07 AM,10:31:10 AM,11:08:28 AM,22,22.153346164467735,-1.2482781,36.884092,-1.3470009,36.7619454,Rider_Id_86,1110,6,23
6334,Order_No_18663,User_Id_1075,Bike,3,Business,18,5,898,3:00:28 PM,3:02:06 PM,3:24:52 PM,7,26.9,-1.2527958,36.8003131,-1.234958,36.8104235,Rider_Id_86,1112,5,18
6335,Order_No_15492,User_Id_453,Bike,1,Personal,22,3,906,3:06:27 PM,3:10:54 PM,3:34:29 PM,5,25.9,-1.275075,36.766391,-1.2970281,36.7903141,Rider_Id_898,906,3,22
6336,Order_No_5339,User_Id_3557,Bike,3,Business,29,1,819,1:39:45 PM,1:48:04 PM,1:58:58 PM,9,24.5,-1.2981352,36.8213822,-1.2546732,36.8086796,Rider_Id_219,1283,1,29
6337,Order_No_4645,User_Id_3647,Bike,3,Business,11,1,844,2:05:23 PM,2:10:54 PM,2:56:30 PM,19,27.8,-1.272639,36.794723,-1.3443917,36.6700333,Rider_Id_818,4,1,11
6338,Order_No_9657,User_Id_1108,Bike,3,Personal,22,3,958,4:00:32 PM,4:13:18 PM,4:17:40 PM,11,24.1,-1.3321701,36.8776153,-1.2857521,36.8277457,Rider_Id_276,2148,3,22
6339,Order_No_15465,User_Id_267,Bike,3,Personal,11,2,693,11:33:11 AM,11:33:24 AM,11:43:43 AM,3,24.3,-1.2833106,36.8240238,-1.2985749,36.8088,Rider_Id_338,2108,2,11
6340,Order_No_14266,User_Id_265,Bike,3,Business,28,4,897,3:29:17 PM,3:35:29 PM,3:59:57 PM,6,29.8,-1.300921,36.828195,-1.326825,36.864345,Rider_Id_6,1715,4,28
6341,Order_No_25279,User_Id_3517,Bike,3,Business,18,1,829,1:49:45 PM,1:54:34 PM,2:57:05 PM,16,31.0,-1.300921,36.828195,-1.3882008,36.7699445,Rider_Id_580,1424,1,18
6342,Order_No_22944,User_Id_1024,Bike,1,Personal,26,3,906,3:07:27 PM,3:17:23 PM,3:21:04 PM,5,27.0,-1.2977387,36.8031447,-1.2892762,36.764129,Rider_Id_722,943,3,26
6343,Order_No_24373,User_Id_1059,Bike,1,Personal,17,3,894,2:54:11 PM,3:02:05 PM,3:05:09 PM,11,28.5,-1.3303649,36.7260187,-1.296567,36.7813901,Rider_Id_832,1296,3,17
6344,Order_No_13112,User_Id_2829,Bike,3,Business,2,5,1001,5:00:41 PM,5:01:55 PM,5:03:50 PM,6,24.0,-1.2571472,36.7950633,-1.2925919,36.8170577,Rider_Id_761,1647,5,2
6345,Order_No_17039,User_Id_2823,Bike,3,Business,16,3,613,10:13:46 AM,10:21:31 AM,10:28:39 AM,11,19.8,-1.2601709,36.8002238,-1.3018758,36.7590863,Rider_Id_353,1855,3,16
6346,Order_No_26662,User_Id_733,Bike,3,Business,5,2,645,10:46:13 AM,10:46:39 AM,10:54:21 AM,10,23.7,-1.2551895,36.7822034,-1.3031971,36.7863146,Rider_Id_518,1439,2,5
6347,Order_No_13245,User_Id_3557,Bike,3,Business,6,4,949,4:05:22 PM,4:29:37 PM,4:44:06 PM,14,22.7,-1.2825804,36.8775087,-1.2546732,36.8086796,Rider_Id_250,3363,4,6
6348,Order_No_18359,User_Id_1642,Bike,3,Business,15,5,781,1:14:06 PM,1:43:14 PM,1:44:31 PM,4,28.2,-1.278191,36.8143267,-1.2726506,36.7960153,Rider_Id_411,876,5,15
6349,Order_No_15814,User_Id_3331,Bike,3,Business,7,1,604,10:05:28 AM,10:20:47 AM,10:42:00 AM,7,24.9,-1.2551895,36.7822034,-1.2897289,36.8271257,Rider_Id_247,3145,1,7
6350,Order_No_21723,User_Id_346,Bike,3,Business,21,4,737,12:23:25 PM,12:23:44 PM,12:35:48 PM,5,25.1,-1.2765736,36.8513646,-1.28878,36.8168312,Rider_Id_31,909,4,21
6351,Order_No_26829,User_Id_1500,Bike,3,Business,9,2,527,8:49:11 AM,9:05:17 AM,9:22:36 AM,6,20.8,-1.2770708,36.8231093,-1.2638185,36.7930057,Rider_Id_438,672,2,9
6352,Order_No_15610,User_Id_2462,Bike,3,Personal,17,2,719,12:00:31 PM,12:08:18 PM,12:13:00 PM,8,19.2,-1.2778747,36.8831829,-1.3015998,36.8764939,Rider_Id_618,1147,2,17
6353,Order_No_10866,User_Id_2956,Bike,3,Business,13,3,866,2:26:55 PM,2:32:02 PM,2:34:29 PM,1,29.0,-1.2584143,36.8048002,-1.2594539,36.8067841,Rider_Id_318,799,3,13
6354,Order_No_8612,User_Id_1304,Bike,3,Business,26,5,591,10:06:42 AM,10:14:08 AM,10:18:11 AM,10,21.604148640036755,-1.2551895,36.7822034,-1.2304909,36.821691,Rider_Id_519,2060,5,26
6355,Order_No_7982,User_Id_53,Bike,3,Business,13,1,874,2:38:53 PM,2:53:13 PM,3:27:53 PM,5,24.146860442523554,-1.3004062,36.829741,-1.2770708,36.8231093,Rider_Id_921,5,1,13
6356,Order_No_4096,User_Id_1307,Bike,3,Business,3,5,496,8:17:16 AM,8:42:44 AM,8:44:13 AM,3,17.6,-1.2844665,36.7866113,-1.2759422,36.7677551,Rider_Id_726,233,5,3
6357,Order_No_8802,User_Id_136,Bike,3,Business,4,2,1005,4:52:45 PM,5:34:10 PM,6:25:32 PM,9,22.6,-1.2654716,36.7983635,-1.2313147,36.8016863,Rider_Id_739,29,2,4
6358,Order_No_23178,User_Id_635,Bike,3,Business,7,2,929,3:33:26 PM,3:53:04 PM,4:00:58 PM,5,24.69731337276293,-1.2857764,36.8236622,-1.2602337,36.7990548,Rider_Id_92,843,2,7
6359,Order_No_4526,User_Id_136,Bike,3,Business,22,5,952,3:55:19 PM,3:57:57 PM,4:28:44 PM,3,30.8,-1.2551895,36.7822034,-1.2654716,36.7983635,Rider_Id_607,394,5,22
6360,Order_No_8647,User_Id_2886,Bike,3,Personal,15,6,823,1:43:26 PM,1:56:19 PM,2:12:55 PM,6,23.5,-1.280549,36.820641,-1.2637591,36.7903832,Rider_Id_812,768,6,15
6361,Order_No_17962,User_Id_53,Bike,3,Business,4,4,933,3:38:14 PM,3:47:37 PM,4:09:23 PM,6,27.5,-1.3077869,36.8443207,-1.2770708,36.8231093,Rider_Id_740,3,4,4
6362,Order_No_12849,User_Id_3661,Bike,3,Business,3,1,480,8:02:01 AM,8:16:13 AM,8:19:41 AM,18,18.2,-1.2132866,36.8678274,-1.3208162,36.8451209,Rider_Id_96,1949,1,3
6363,Order_No_26763,User_Id_1500,Bike,3,Business,14,2,598,10:00:15 AM,10:04:25 AM,10:05:40 AM,8,21.497485242660645,-1.3004062,36.829741,-1.2638185,36.7930057,Rider_Id_298,3159,2,14
6364,Order_No_5075,User_Id_3647,Bike,3,Business,10,4,975,4:16:02 PM,4:24:23 PM,4:25:30 PM,3,25.0,-1.272639,36.794723,-1.2729843,36.8105717,Rider_Id_569,1167,4,10
6365,Order_No_24267,User_Id_3557,Bike,3,Business,3,3,850,2:12:20 PM,3:07:02 PM,3:22:34 PM,7,26.9,-1.3076262,36.8325382,-1.2546732,36.8086796,Rider_Id_731,1464,3,3
6366,Order_No_26261,User_Id_3560,Bike,3,Business,15,4,867,2:29:28 PM,2:35:44 PM,2:46:11 PM,11,27.4,-1.2283403,36.8822756,-1.279395,36.825364,Rider_Id_237,1282,4,15
6367,Order_No_5844,User_Id_2956,Bike,3,Business,28,4,943,3:43:32 PM,3:46:00 PM,4:00:14 PM,6,29.9,-1.290894,36.822971,-1.2584143,36.8048002,Rider_Id_913,1782,4,28
6368,Order_No_15070,User_Id_3398,Bike,3,Business,17,1,614,10:14:09 AM,10:21:02 AM,10:55:05 AM,30,25.1,-1.3169591,36.7000029,-1.2413316,36.8785525,Rider_Id_478,6706,1,17
6369,Order_No_3266,User_Id_1249,Bike,3,Business,15,5,992,4:45:31 PM,5:10:05 PM,5:13:01 PM,18,27.8,-1.3189252,36.8617269,-1.3516579,36.7298363,Rider_Id_856,2391,5,15
6370,Order_No_14060,User_Id_3002,Bike,1,Personal,11,3,688,11:28:36 AM,11:28:43 AM,11:42:09 AM,9,19.0,-1.2528485,36.7953722,-1.2846195,36.7958316,Rider_Id_546,1100,3,11
6371,Order_No_21651,User_Id_3727,Bike,3,Business,11,2,850,2:11:56 PM,2:12:52 PM,2:23:37 PM,8,22.2,-1.2963097,36.7688221,-1.2600616,36.7870182,Rider_Id_375,948,2,11
6372,Order_No_19835,User_Id_1329,Bike,3,Business,3,3,674,11:15:58 AM,11:22:22 AM,11:25:02 AM,3,27.3,-1.273056,36.811298,-1.2607855,36.8163104,Rider_Id_99,778,3,3
6373,Order_No_7700,User_Id_1250,Bike,1,Personal,5,6,724,12:04:08 PM,12:11:58 PM,12:25:50 PM,5,22.6,-1.2904078,36.8301231,-1.2620741,36.8158147,Rider_Id_948,1369,6,5
6374,Order_No_12250,User_Id_3664,Bike,1,Personal,19,6,970,4:20:03 PM,4:24:57 PM,4:32:22 PM,3,21.6,-1.3040487,36.8211935,-1.307774,36.8407541,Rider_Id_196,701,6,19
6375,Order_No_21200,User_Id_2358,Bike,4,Business,18,4,754,12:35:03 PM,12:36:47 PM,12:48:39 PM,12,25.5,-1.346286,36.768793,-1.293973,36.80169,Rider_Id_622,1147,4,18
6376,Order_No_17827,User_Id_1244,Bike,3,Business,28,4,667,11:08:57 AM,11:23:54 AM,11:34:50 AM,11,27.9,-1.331619,36.847976,-1.303596,36.778378,Rider_Id_675,1235,4,28
6377,Order_No_16053,User_Id_2847,Bike,3,Personal,25,6,973,4:13:43 PM,4:38:00 PM,4:39:19 PM,13,25.406631118917517,-1.2822773,36.7953121,-1.2311903,36.8102105,Rider_Id_400,1559,6,25
6378,Order_No_15944,User_Id_1500,Bike,3,Business,3,1,513,8:34:15 AM,8:41:16 AM,8:45:40 AM,13,18.2,-1.2638185,36.7930057,-1.3228003,36.8306435,Rider_Id_582,1762,1,3
6379,Order_No_19343,User_Id_2041,Bike,1,Business,11,4,716,11:56:36 AM,12:09:39 PM,12:28:24 PM,5,24.0,-1.290894,36.822971,-1.29387,36.7907813,Rider_Id_265,777,4,11
6380,Order_No_23040,User_Id_3091,Bike,3,Business,28,5,687,11:27:25 AM,11:27:42 AM,11:54:37 AM,18,25.0,-1.2283403,36.8822756,-1.3012008,36.764868,Rider_Id_179,1897,5,28
6381,Order_No_3726,User_Id_1500,Bike,3,Business,29,4,786,1:56:39 PM,2:06:36 PM,2:31:01 PM,8,24.6,-1.3004062,36.829741,-1.2574219,36.7927073,Rider_Id_345,1475,4,29
6382,Order_No_6653,User_Id_238,Bike,3,Business,27,3,518,8:38:30 AM,8:40:55 AM,8:51:26 AM,4,21.5,-1.3077869,36.8443207,-1.3004062,36.829741,Rider_Id_448,431,3,27
6383,Order_No_5562,User_Id_1280,Bike,3,Business,12,2,881,2:42:44 PM,2:57:14 PM,2:58:37 PM,8,24.254886106864582,-1.2551895,36.7822034,-1.2897215,36.7945959,Rider_Id_131,3308,2,12
6384,Order_No_456,User_Id_2089,Bike,3,Business,21,3,784,1:04:58 PM,1:08:56 PM,1:13:01 PM,7,22.2,-1.2655824,36.8013576,-1.2610722,36.8147074,Rider_Id_38,1607,3,21
6385,Order_No_20043,User_Id_3517,Bike,3,Business,26,6,626,10:26:38 AM,10:28:02 AM,10:55:44 AM,15,25.8,-1.300921,36.828195,-1.3882008,36.7699445,Rider_Id_736,2766,6,26
6386,Order_No_15827,User_Id_1637,Bike,3,Business,5,1,948,3:48:27 PM,3:51:12 PM,4:12:27 PM,14,25.9,-1.2615888,36.7928732,-1.2283403,36.8822756,Rider_Id_551,1431,1,5
6387,Order_No_2372,User_Id_1500,Bike,3,Business,28,4,776,12:57:12 PM,12:59:55 PM,1:35:09 PM,8,27.3,-1.3004062,36.829741,-1.2638185,36.7930057,Rider_Id_953,17,4,28
6388,Order_No_16889,User_Id_393,Bike,3,Business,15,3,952,3:53:20 PM,4:03:09 PM,4:13:14 PM,11,25.9,-1.3167113,36.8301563,-1.2638185,36.7930057,Rider_Id_709,1613,3,15
6389,Order_No_11092,User_Id_136,Bike,3,Business,14,4,789,1:17:48 PM,1:28:58 PM,1:30:11 PM,13,25.2,-1.3254522,36.7216584,-1.25537,36.7756,Rider_Id_831,3070,4,14
6390,Order_No_27971,User_Id_3689,Bike,3,Business,20,4,970,4:28:45 PM,4:37:56 PM,4:47:35 PM,10,22.7,-1.3014461,36.7661381,-1.2527958,36.8003131,Rider_Id_845,1416,4,20
6391,Order_No_26403,User_Id_2723,Bike,1,Personal,3,3,801,1:25:37 PM,1:25:48 PM,2:16:54 PM,4,26.7,-1.2784495,36.7981729,-1.2543899,36.8091271,Rider_Id_51,969,3,3
6392,Order_No_7369,User_Id_1721,Bike,3,Business,13,3,850,2:19:30 PM,2:47:31 PM,2:52:47 PM,11,27.3,-1.2551895,36.7822034,-1.2310607,36.8035776,Rider_Id_152,1175,3,13
6393,Order_No_11573,User_Id_3295,Bike,3,Business,8,5,630,10:31:46 AM,10:38:36 AM,10:43:31 AM,16,28.6,-1.2571472,36.7950633,-1.27915,36.89929,Rider_Id_520,2219,5,8
6394,Order_No_20177,User_Id_868,Bike,3,Business,16,2,996,4:37:47 PM,4:38:42 PM,4:49:00 PM,7,25.39809822088896,-1.2628473,36.781805,-1.265715,36.823815,Rider_Id_349,919,2,16
6395,Order_No_25354,User_Id_1329,Bike,3,Business,8,5,732,12:39:36 PM,12:49:14 PM,12:51:37 PM,12,28.5,-1.273056,36.811298,-1.2239241,36.8707489,Rider_Id_210,2235,5,8
6396,Order_No_3356,User_Id_3686,Bike,3,Business,15,1,752,12:32:46 PM,12:33:53 PM,12:37:22 PM,18,23.082364035425574,-1.2551895,36.7822034,-1.319048,36.8943118,Rider_Id_709,2587,1,15
6397,Order_No_10906,User_Id_2989,Bike,3,Business,1,4,895,2:55:48 PM,3:06:11 PM,3:26:47 PM,18,24.55634918297979,-1.2859912,36.8756811,-1.3463042,36.768164,Rider_Id_699,1909,4,1
6398,Order_No_18722,User_Id_2069,Bike,3,Business,1,1,804,1:27:10 PM,1:40:14 PM,1:50:16 PM,12,23.49609781051518,-1.2600926,36.8088685,-1.228911,36.881876,Rider_Id_691,1301,1,1
6399,Order_No_24775,User_Id_657,Bike,1,Personal,20,3,1036,5:49:32 PM,6:06:47 PM,6:13:17 PM,12,21.7,-1.2873119,36.8251255,-1.309538,36.7353407,Rider_Id_744,1604,3,20
6400,Order_No_11388,User_Id_2944,Bike,3,Personal,6,4,862,2:25:37 PM,2:44:16 PM,2:57:50 PM,10,21.1,-1.2772989,36.8526035,-1.2642333,36.7795483,Rider_Id_815,1581,4,6
6401,Order_No_11239,User_Id_3211,Bike,3,Personal,8,1,702,11:51:01 AM,12:08:32 PM,12:17:35 PM,4,24.6,-1.2783772,36.8201617,-1.2658315,36.809049,Rider_Id_956,1078,1,8
6402,Order_No_15109,User_Id_2174,Bike,3,Business,12,2,584,9:44:39 AM,9:45:29 AM,10:37:46 AM,12,24.5,-1.2482781,36.884092,-1.2981239,36.8367977,Rider_Id_510,1198,2,12
6403,Order_No_11870,User_Id_2330,Bike,3,Business,15,5,736,12:16:58 PM,12:27:12 PM,12:29:25 PM,3,26.3,-1.3040812,36.7924217,-1.2915247,36.8055757,Rider_Id_862,340,5,15
6404,Order_No_22747,User_Id_1500,Bike,3,Business,4,4,694,11:36:39 AM,11:47:58 AM,11:50:00 AM,10,25.3,-1.2991441,36.7528804,-1.2638185,36.7930057,Rider_Id_933,1710,4,4
6405,Order_No_515,User_Id_1363,Bike,3,Business,3,4,902,3:11:55 PM,3:20:12 PM,3:24:26 PM,5,24.8,-1.3004062,36.829741,-1.3077869,36.8443207,Rider_Id_479,707,4,3
6406,Order_No_5547,User_Id_2181,Bike,2,Personal,30,1,512,10:01:20 AM,10:18:28 AM,10:22:32 AM,8,16.5,-1.2665974,36.7921181,-1.293278,36.827789,Rider_Id_648,917,1,30
6407,Order_No_15088,User_Id_2237,Bike,3,Business,17,6,661,11:05:23 AM,11:32:35 AM,11:41:28 AM,15,24.0,-1.266571,36.801406,-1.2036664,36.8192622,Rider_Id_19,1453,6,17
6408,Order_No_13823,User_Id_2956,Bike,3,Business,27,3,1148,7:08:41 PM,7:11:43 PM,7:17:00 PM,2,27.3,-1.2527958,36.8003131,-1.2584143,36.8048002,Rider_Id_172,650,3,27
6409,Order_No_26915,User_Id_420,Bike,3,Business,12,3,923,3:36:09 PM,3:48:11 PM,3:57:30 PM,10,26.7,-1.3080097,36.7494062,-1.2611642,36.7949932,Rider_Id_312,1155,3,12
6410,Order_No_26147,User_Id_2154,Bike,3,Business,10,1,495,8:23:19 AM,8:58:03 AM,9:03:52 AM,5,16.7,-1.2765736,36.8513646,-1.2869041,36.8240057,Rider_Id_271,2662,1,10
6411,Order_No_27292,User_Id_3291,Bike,3,Business,25,1,574,9:34:53 AM,9:39:52 AM,9:51:06 AM,5,20.9,-1.2628473,36.781805,-1.2600926,36.8088685,Rider_Id_831,730,1,25
6412,Order_No_20486,User_Id_154,Bike,2,Business,12,5,549,9:09:43 AM,9:10:20 AM,9:25:55 AM,16,18.8,-1.2960265,36.8780276,-1.2551895,36.7822034,Rider_Id_43,4118,5,12
6413,Order_No_12577,User_Id_1976,Bike,3,Business,22,5,515,8:52:10 AM,9:19:16 AM,9:21:04 AM,8,20.830097079221158,-1.2809356,36.8232262,-1.257028,36.7810435,Rider_Id_127,1888,5,22
6414,Order_No_21332,User_Id_1103,Bike,3,Business,29,1,885,2:47:39 PM,3:04:46 PM,3:08:56 PM,7,24.6,-1.290894,36.822971,-1.2551895,36.7822034,Rider_Id_878,1165,1,29
6415,Order_No_17162,User_Id_2039,Bike,2,Personal,29,5,957,4:00:53 PM,4:49:19 PM,4:51:00 PM,7,20.4,-1.2755226,36.7811904,-1.2649605,36.7981777,Rider_Id_536,1465,5,29
6416,Order_No_22922,User_Id_1058,Bike,1,Business,27,1,787,1:10:18 PM,1:30:03 PM,1:44:28 PM,16,23.44553555556822,-1.2251703,36.8904714,-1.2571472,36.7950633,Rider_Id_520,1379,1,27
6417,Order_No_5624,User_Id_868,Bike,3,Business,2,4,930,4:32:27 PM,4:39:47 PM,4:54:06 PM,14,23.6,-1.293515,36.897607,-1.265715,36.823815,Rider_Id_676,1900,4,2
6418,Order_No_9792,User_Id_561,Bike,1,Personal,6,4,1228,8:28:32 PM,8:29:29 PM,9:17:49 PM,7,17.8,-1.2546942,36.7832536,-1.238146,36.7649366,Rider_Id_874,683,4,6
6419,Order_No_9917,User_Id_53,Bike,3,Business,25,4,576,9:36:55 AM,9:43:18 AM,9:52:44 AM,7,21.394544966256024,-1.2638185,36.7930057,-1.2770708,36.8231093,Rider_Id_76,906,4,25
6420,Order_No_6679,User_Id_2509,Bike,3,Business,27,3,672,11:13:00 AM,11:13:39 AM,11:24:00 AM,20,26.0,-1.2571472,36.7950633,-1.3700383,36.9190174,Rider_Id_470,3488,3,27
6421,Order_No_14976,User_Id_892,Bike,2,Personal,25,2,635,10:35:58 AM,10:50:47 AM,10:56:37 AM,15,23.9,-1.2243841,36.8024757,-1.312475,36.8225778,Rider_Id_882,2760,2,25
6422,Order_No_17949,User_Id_2587,Bike,3,Business,23,1,690,11:34:51 AM,11:46:03 AM,11:54:54 AM,5,18.7,-1.2527958,36.8003131,-1.2885529,36.8160141,Rider_Id_726,939,1,23
6423,Order_No_19704,User_Id_2823,Bike,3,Business,21,4,920,3:20:56 PM,3:26:05 PM,3:48:19 PM,8,22.4,-1.2615888,36.7928732,-1.3014461,36.7661381,Rider_Id_116,1192,4,21
